Dispozice,Energetická náročnost budovy,Kauce,Měsíční poplatky,Podlaží,Provize realitní kanceláře,Vybavený,Výměra,geo-lat,geo-lng,Balkón,Sklep,Pračka,Lednice,Myčka,Cenová skupina,Výměrová skupina
5,6,0,5000,11,1,1,111,50.07985,14.41593,0,0,0,0,0,6,6
5,6,0,0,15,1,2,138,50.07803,14.438939999999999,0,0,0,0,0,6,8
7,6,0,0,13,0,2,123,50.0674,14.39645,0,0,0,0,0,6,7
14,6,0,0,18,1,0,250,50.00326,14.557739999999999,0,0,0,0,0,6,11
6,6,0,0,13,0,1,120,50.10414,14.39954,1,0,0,0,0,5,7
5,6,0,0,11,1,2,102,50.06385,14.42344,0,0,0,0,0,5,6
5,3,0,0,14,1,2,138,50.07803,14.438939999999999,0,0,0,0,0,6,8
7,2,0,6000,13,1,2,101,50.09451,14.34949,0,0,0,0,0,6,6
7,2,0,0,11,1,1,140,50.09024,14.36692,0,0,0,0,0,6,8
3,6,0,0,8,1,1,90,50.078759999999996,14.452,0,0,0,0,0,6,5
3,1,0,0,14,1,1,64,50.06679000000001,14.423470000000002,0,0,0,0,0,6,3
5,6,0,0,8,1,2,94,50.07673,14.43506,0,0,0,0,0,6,5
7,6,0,0,13,1,2,120,50.09451,14.34949,0,0,0,0,0,6,7
4,6,0,0,0,1,2,100,50.07009,14.414779999999999,0,0,0,0,0,6,6
4,6,0,0,14,1,1,100,50.07107,14.43651,0,0,0,0,0,6,6
7,6,0,0,13,0,2,120,50.09479,14.349839999999999,0,0,0,0,0,6,7
14,6,0,0,8,1,2,150,50.12695,14.58029,0,0,0,0,0,6,8
5,6,0,0,13,0,2,99,50.075379999999996,14.44994,0,0,0,0,0,6,6
5,6,0,0,8,1,1,85,50.07205,14.441429999999999,0,0,0,0,0,5,5
3,6,0,0,12,1,1,54,50.06679000000001,14.423470000000002,0,0,0,0,0,5,2
6,6,0,0,12,1,1,110,50.08757,14.415470000000001,0,0,0,0,0,6,6
5,6,0,0,13,1,1,93,50.07205,14.441429999999999,0,0,0,0,0,6,5
7,6,0,0,11,1,2,147,50.09024,14.36692,1,0,0,0,0,6,8
5,6,0,0,13,1,1,121,50.07847,14.40365,0,0,0,0,0,6,7
5,6,0,0,13,1,2,95,50.07673,14.43506,0,0,0,0,0,6,5
2,6,0,0,14,1,1,109,50.07695,14.44917,0,0,0,0,0,6,6
2,6,0,0,11,1,1,92,50.07445,14.448920000000001,1,0,0,0,0,6,5
5,6,0,0,0,1,2,97,50.07904,14.449670000000001,0,0,0,0,0,6,6
5,6,0,0,13,0,1,104,50.10845,14.39241,0,0,0,0,0,6,6
14,6,0,8000,18,1,0,250,49.15932,16.5474,0,0,0,0,0,6,11
7,6,0,0,11,1,2,140,50.090070000000004,14.36607,1,0,0,0,0,6,8
3,6,0,0,12,1,1,114,50.08911,14.405,0,0,0,0,0,5,6
4,6,0,0,11,1,2,115,50.07012,14.401679999999999,0,0,0,0,0,6,7
5,2,0,7000,13,1,1,128,50.070409999999995,14.402079999999998,0,0,0,0,0,6,7
5,2,0,0,13,1,2,89,50.05634000000001,14.380989999999999,1,0,0,0,0,5,5
6,2,0,8500,13,1,1,165,50.08876,14.34286,0,0,0,0,0,6,9
5,3,0,5000,15,1,2,138,50.07803,14.438939999999999,0,0,0,0,0,6,8
7,6,0,0,14,0,1,110,49.83404,18.28727,1,0,0,0,0,6,6
14,6,0,45000,8,1,0,220,50.06951,14.316139999999999,0,0,0,0,0,6,10
5,6,0,39400,8,1,1,121,50.07544,14.403929999999999,0,0,0,0,0,6,7
5,6,0,0,13,1,1,100,50.09263,14.45415,0,0,0,0,0,6,6
5,6,0,0,15,1,2,104,50.1082,14.392470000000001,0,0,0,0,0,6,6
5,6,0,6500,8,1,2,98,50.09109,14.429839999999999,1,0,0,0,0,6,6
5,6,0,0,8,1,2,78,50.083729999999996,14.430270000000002,0,0,0,0,0,6,4
14,6,0,4000,18,1,1,146,50.03799,14.32355,1,0,0,0,0,6,8
7,6,0,0,13,1,2,100,50.09478,14.349739999999999,0,0,0,0,0,6,6
5,3,0,0,8,1,0,102,50.06385,14.42344,0,0,0,0,0,6,6
4,6,0,0,8,1,2,75,50.078720000000004,14.45006,1,0,0,0,0,6,4
2,3,0,0,14,0,1,88,50.08594,14.429829999999999,1,0,0,0,0,6,5
5,6,0,0,11,0,1,130,50.09142,14.432229999999999,0,0,0,0,0,5,7
14,6,0,0,8,1,2,285,49.26658,16.56824,0,0,0,0,0,6,12
5,6,0,0,0,1,1,122,50.07493,14.459179999999998,0,0,0,0,0,6,7
9,6,0,0,14,1,0,202,50.1017,14.403139999999999,0,0,0,0,0,5,10
4,3,0,0,12,1,2,100,50.07967,14.444679999999998,1,0,0,0,0,5,6
4,6,0,0,13,0,1,150,50.080009999999994,14.41505,0,0,0,0,0,6,8
7,1,0,0,12,1,2,120,50.09451,14.34949,0,0,0,0,0,6,7
